wojewodztwo;powiat_miasto;teryt;strefa
dolnoœl¹skie;boles³awiecki;t0201;2
dolnoœl¹skie;dzier¿oniowski;t0202;2
dolnoœl¹skie;g³ogowski;t0203;2
dolnoœl¹skie;górowski;t0204;2
dolnoœl¹skie;jaworski;t0205;2
dolnoœl¹skie;jeleniogórski;t0206;2
dolnoœl¹skie;kamiennogórski;t0207;2
dolnoœl¹skie;k³odzki;t0208;2
dolnoœl¹skie;legnicki;t0209;2
dolnoœl¹skie;lubañski;t0210;2
dolnoœl¹skie;lubiñski;t0211;2
dolnoœl¹skie;lwówecki;t0212;2
dolnoœl¹skie;milicki;t0213;2
dolnoœl¹skie;oleœnicki;t0214;2
dolnoœl¹skie;o³awski;t0215;2
dolnoœl¹skie;polkowicki;t0216;2
dolnoœl¹skie;strzeliñski;t0217;2
dolnoœl¹skie;œredzki;t0218;2
dolnoœl¹skie;œwidnicki;t0219;2
dolnoœl¹skie;trzebnicki;t0220;2
dolnoœl¹skie;wa³brzyski;t0221;2
dolnoœl¹skie;wo³owski;t0222;2
dolnoœl¹skie;wroc³awski;t0223;2
dolnoœl¹skie;z¹bkowicki;t0224;2
dolnoœl¹skie;zgorzelecki;t0225;2
dolnoœl¹skie;z³otoryjski;t0226;2
dolnoœl¹skie;m. Jelenia Góra;t0261;2
dolnoœl¹skie;m. Legnica;t0262;2
dolnoœl¹skie;m. Wroc³aw;t0264;2
dolnoœl¹skie;m. Wa³brzych;t0265;2
kujawsko-pomorskie;aleksandrowski;t0401;2
kujawsko-pomorskie;brodnicki;t0402;2
kujawsko-pomorskie;bydgoski;t0403;2
kujawsko-pomorskie;che³miñski;t0404;2
kujawsko-pomorskie;golubsko-dobrzyñski;t0405;2
kujawsko-pomorskie;grudzi¹dzki;t0406;2
kujawsko-pomorskie;inowroc³awski;t0407;2
kujawsko-pomorskie;lipnowski;t0408;2
kujawsko-pomorskie;mogileñski;t0409;2
kujawsko-pomorskie;nakielski;t0410;2
kujawsko-pomorskie;radziejowski;t0411;2
kujawsko-pomorskie;rypiñski;t0412;2
kujawsko-pomorskie;sêpoleñski;t0413;2
kujawsko-pomorskie;œwiecki;t0414;2
kujawsko-pomorskie;toruñski;t0415;2
kujawsko-pomorskie;tucholski;t0416;2
kujawsko-pomorskie;w¹brzeski;t0417;2
kujawsko-pomorskie;w³oc³awski;t0418;2
kujawsko-pomorskie;¿niñski;t0419;2
kujawsko-pomorskie;m. Bydgoszcz;t0461;2
kujawsko-pomorskie;m. Grudzi¹dz;t0462;2
kujawsko-pomorskie;m. Toruñ;t0463;2
kujawsko-pomorskie;m. W³oc³awek;t0464;2
lubelskie;bialski;t0601;2
lubelskie;bi³gorajski;t0602;2
lubelskie;che³mski;t0603;2
lubelskie;hrubieszowski;t0604;2
lubelskie;janowski;t0605;2
lubelskie;krasnostawski;t0606;2
lubelskie;kraœnicki;t0607;2
lubelskie;lubartowski;t0608;2
lubelskie;lubelski;t0609;2
lubelskie;³êczyñski;t0610;2
lubelskie;³ukowski;t0611;2
lubelskie;opolski;t0612;2
lubelskie;parczewski;t0613;2
lubelskie;pu³awski;t0614;2
lubelskie;radzyñski;t0615;2
lubelskie;rycki;t0616;2
lubelskie;œwidnicki;t0617;2
lubelskie;tomaszowski;t0618;2
lubelskie;w³odawski;t0619;2
lubelskie;zamojski;t0620;2
lubelskie;m. Bia³a Podlaska;t0661;2
lubelskie;m. Che³m;t0662;2
lubelskie;m. Lublin;t0663;2
lubelskie;m. Zamoœæ;t0664;2
lubuskie;gorzowski;t0801;2
lubuskie;kroœnieñski;t0802;2
lubuskie;miêdzyrzecki;t0803;2
lubuskie;nowosolski;t0804;2
lubuskie;s³ubicki;t0805;2
lubuskie;strzelecko-drezdenecki;t0806;2
lubuskie;sulêciñski;t0807;2
lubuskie;œwiebodziñski;t0808;2
lubuskie;zielonogórski;t0809;2
lubuskie;¿agañski;t0810;2
lubuskie;¿arski;t0811;2
